Yield,CapUt M,CorpP M,PERatio M,CAPE M,aCDebt M,aTobinQ M,ISM_PMI,Manu M,Momen5,Moving Average,spy_Price,Daily_Return,Result
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.362428269,-0.021609935,18.92,-0.06765333,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.318640467,-0.021609935,18.83,-0.054168933,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.015037594,-0.021609935,19,-0.057368421,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.17148822,-0.021609935,19.16,-0.07776618,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.126884616,-0.021609935,19.139999,-0.080982188,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.638951609,-0.021609935,18.110001,-0.043622361,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.73382787,-0.021609935,17.91,-0.058068063,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.702058019,-0.021609935,18.110001,-0.078409714,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-1,-0.021609935,17.440001,-0.032683484,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-1,-0.021609935,17.690001,-0.057094457,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.380630083,-0.021609935,17.639999,-0.03287982,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.080212566,-0.021609935,17.809999,-0.025266593,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.159528595,-0.021609935,17.91,-0.016750363,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.185947934,-0.021609935,17.67,-0.004527448,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.081215788,-0.021609935,17.59,-0.006253553,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.263938469,-0.021609935,17.32,-0.005196305,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.796001308,-0.021609935,16.870001,0.023710668,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-1,-0.021609935,16.690001,0.048531992,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.677448516,-0.021609935,16.870001,0.048606992,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.779376499,-0.021609935,16.68,0.069544365,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.217719825,-0.021609935,17.059999,0.056272043,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.403225783,-0.021609935,17.360001,0.033986173,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.746329154,-0.021609935,17.610001,0.02157859,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.584747015,-0.021609935,17.59,0.031267709,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.653808434,-0.021609935,17.48,0.053203661,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.140950999,-0.021609935,17.23,0.071387057,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.074448672,-0.021609935,17.27,0.077591257,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.089796735,-0.021609935,17.5,0.056,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.080756678,-0.021609935,17.690001,0.033352174,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.288276746,-0.021609935,17.84,0.025224271,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.626288251,-0.021609935,18.02,0.016648169,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.541186599,-0.021609935,17.950001,0.021726963,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.389105058,-0.021609935,17.99,0.030572596,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.354384962,-0.021609935,18.139999,0.029768524,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.4423062,-0.021609935,18.41,0.015752363,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.34050381,-0.021609935,18.459999,0.011917715,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.506640028,-0.021609935,18.610001,0.011284201,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.378787879,-0.021609935,18.48,0.016774946,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.109410747,-0.021609935,18.280001,0.014223194,0
